,id,question,answer,label
44,44,What fields do the Goldwater Scholarships support?,"The Goldwater Scholarships support students planning graduate work and a career in science, mathematics, or engineering.",1.0
45,45,What criteria does the Goldwater Foundation consider for the scholarships?,"The Goldwater Foundation considers scholastic record, research experience, potential in graduate school, and commitment to a research career.",1.0
46,46,When is the campus deadline for the Goldwater Scholarships?,The campus deadline is usually before the Thanksgiving break.,1.0
47,47,Who should students contact for campus application details for the Goldwater Scholarships?,Students should contact Christina McIntyre for campus application details.,1.0
48,48,What is the purpose of the James Madison Fellowships?,"To provide financial support for graduate study in history, political science, or related social studies.",1.0
49,49,What is the requirement for receiving a James Madison Fellowship?,Applicants must agree to teach secondary school for at least one year for each year of financial assistance.,1.0
50,50,What is the deadline for the James Madison Fellowships?,The final deadline is usually early March.,1.0
51,51,What is the amount of money allotted for Marshall Scholarships?,"Approximately $40,000 per year for two years of graduate study in any university in the United Kingdom.",1.0
52,52,What are the eligibility criteria for Marshall Scholarships?,"Distinguished academic record, strong leadership, significant community service, and a focused program of study for graduate school.",1.0
53,53,When is the campus deadline for Marshall Scholarships?,Early September.,1.0
54,54,When is the national deadline for Marshall Scholarships?,Very early October.,1.0
55,55,What is the purpose of contacting Christina McIntyre in relation to Marshall Scholarships?,To discuss the application process and the specifics of the campus process.,1.0
56,56,Who are some of the recipients of the James Madison Fellowships?,"Ashley A. White (2005), Sarah S. Airey (2000), Stacey D. Smith (1999), Anya McGuirk (1980).",1.0
57,57,What is the purpose of the Mitchell Scholarship?,To educate future American leaders about the island of Ireland.,1.0
58,58,What is the campus deadline for the Mitchell Scholarship?,Early September.,1.0
59,59,What is the national deadline for the Mitchell Scholarship?,Early October.,1.0
60,60,What is the purpose of the NSF Graduate Research Fellowship Program?,To ensure the vitality of the human resource base of science and engineering in the United States and reinforce its diversity.,1.0
61,61,What do NSF Fellows receive as part of the program?,"A three-year annual stipend of $34,000, a $12,000 cost of education allowance for tuition and fees, opportunities for international research and professional development, and the freedom to conduct their own research at any accredited U.S. institution of graduate education they choose.",1.0
62,62,What are NSF Fellows anticipated to become?,"Knowledge experts who can contribute significantly to research, teaching, and innovations in science and engineering.",1.0
63,63,Is a university endorsement required for the NSF Graduate Research Fellowship?,No.,1.0
64,64,When do the deadlines for the NSF Graduate Research Fellowship vary?,Mid-October to early November.,1.0
65,65,Who should candidates contact for additional guidance for the NSF Graduate Research Fellowship?,Christina McIntyre.,1.0
66,66,What is the purpose of Rhodes Scholarships?,"To provide support for tuition, fees, room, board, transportation, and books for two years of graduate study at Oxford University.",1.0
67,67,What qualities does the Rhodes Foundation look for in candidates?,"Very strong academic records, integrity of character, physical vigor, demonstrated leadership, and extensive public service.",1.0
68,68,Can alumni apply for the Rhodes Scholarship?,"Yes, as long as they have not reached the age of 24 by October 1 of the application year.",1.0
69,69,Is a university endorsement required for the Rhodes Scholarship?,Yes.,1.0
70,70,Who should students contact to discuss the Rhodes scholarship application process?,Christina McIntyre.,1.0
71,71,What is the amount of the Harry S. Truman Scholarship?,"$30,000.",1.0
72,72,What is the purpose of the Truman scholarship?,To identify people with potential to become leaders and provide them with support towards their graduate education.,1.0
73,73,Is a university endorsement required for the Truman Scholarship?,Yes.,1.0
74,74,What is the campus deadline for the Truman Scholarship?,December 1.,1.0
75,75,When should candidates meet with Christina McIntyre to discuss the Truman scholarship application process?,Early in the fall semester.,1.0
76,76,Who should candidates email to gain access to the Truman scholarship application?,Christina McIntyre.,1.0
77,77,What is the website for the Truman Foundation?,http://www.truman.gov.,1.0
78,78,What fields does the Udall Foundation seek future leaders in?,"The Udall Foundation seeks future leaders across a wide spectrum of environmental fields, including policy, engineering, science, education, urban planning and renewal, business, health, justice, and economics.",1.0
79,79,What is the eligibility criteria for the Udall scholarship?,Scholarships are offered to students in one of the following categories.,1.0
80,80,Is there a University Endorsement Process for the Udall scholarship?,Yes.,1.0
81,81,What is the Virginia Tech campus deadline for the Udall scholarship?,The Virginia Tech campus deadline is February 15.,1.0
82,82,Who determines the endorsements of candidates for the Udall scholarship at Virginia Tech?,The Virginia Tech Udall Committee determines endorsements of candidates based on the materials submitted by the campus deadline.,1.0
83,83,What is the purpose of the four-day scholar orientation for the Udall scholarship?,The four-day scholar orientation provides access to the Udall Alumni network.,1.0
84,84,Who can Native American and Alaska Native leaders apply for the Udall scholarship in?,Native American and Alaska Native leaders can apply in Native American health care and tribal public policy.,1.0
85,85,When should candidates meet with Christina McIntyre for the Udall scholarship application process?,Candidates are encouraged to meet in the fall with Christina McIntyre to discuss the application process.,1.0
86,86,What is the website of the Udall Foundation?,The website of the Udall Foundation is http://udall.gov/OurPrograms/Scholarship/Scholarship.aspx.,1.0
87,87,"Who is the Director of Professional Development, National & International Scholarships at Virginia Tech?","The Director of Professional Development, National & International Scholarships at Virginia Tech is Christina McIntyre.",1.0
88,88,What is the purpose of the Astronaut Scholarship?,"To support scholars in science, technology, engineering, and mathematics and commemorate the legacy of pioneering astronauts.",1.0
89,89,What are the eligibility requirements for the Astronaut Scholarship?,"The nominee must be a U.S. citizen, at least a sophomore or junior in college, enrolled as a full-time student, and pursuing a STEM degree with intentions to pursue research or advance their field.",1.0
90,90,Are students pursuing a practice in professional medicine eligible for the Astronaut Scholarship?,"No, students intending to pursue a practice in professional medicine are not eligible, but those intending to perform biomedical research are.",1.0
91,91,How many scholarships were awarded by the Astronaut Scholarship Foundation last year?,52 scholarships were awarded to students from 38 different universities.,1.0
92,92,Who are Astronaut Scholars?,"Astronaut Scholars are students in their junior and senior year of college studying science, technology, engineering, or mathematics with the intent to pursue research or advance their field upon completion of their final degree.",1.0
93,93,When were the first scholarships awarded by the Astronaut Scholarship Foundation?,The first seven scholarships were awarded in 1986.,1.0
94,94,What is the Astronaut Scholarship Foundation?,"The Astronaut Scholarship Foundation awards scholarships valued up to $10,000 to selected scholars.",1.0
95,95,How many scholarships does the Astronaut Scholarship Foundation award?,The Astronaut Scholarship Foundation awards fifty scholarships.,1.0
96,96,What is the criteria for the English-Speaking Union Scholarship?,"The English-Speaking Union Scholarship considers the applicant's literary and scholastic ability, physical vigor, character and personality.",1.0
97,97,How many candidates can the university nominate for the English-Speaking Union Scholarship?,The university can nominate one candidate.,1.0
98,98,Who is the contact person for the Astronaut Scholarship at Virginia Tech?,Christina McIntyre is the contact person for the Astronaut Scholarship at Virginia Tech.,1.0
99,99,Who were some past Virginia Tech Astronaut Scholars?,"Some past Virginia Tech Astronaut Scholars include Arianna Krinos, Jim Owens, and Christine Faunce.",1.0
100,100,What is the amount that the English-Speaking Union Scholarship covers?,The English-Speaking Union Scholarship covers the cost of three weeks of summer study and transportation.,1.0
101,101,When is the campus deadline for the English-Speaking Union Scholarship?,The campus deadline for the English-Speaking Union Scholarship is in mid-December.,1.0
102,102,Where are the finalists for the English-Speaking Union Scholarship interviewed?,The finalists for the English-Speaking Union Scholarship are interviewed in Richmond.,1.0
103,103,What is the deadline for the Ford Foundation Fellowships for Minorities?,The final deadline is usually in early November.,1.0
104,104,What disciplines are eligible for the Ford Foundation Fellowships?,"Research-based doctoral programs in the behavioral and social sciences, humanities, engineering, mathematics, computer science, physical sciences, and biological sciences or interdisciplinary programs consisting of two or more eligible disciplines.",1.0
105,105,What does the Fulbright Scholarship cover?,"The amount includes round-trip transportation, tuition, living expenses, and frequently an accelerated language course.",1.0
106,106,When is the national deadline for the Fulbright Scholarship?,The national deadline is usually the third week in October.,1.0
107,107,Who should students contact to discuss the Fulbright Scholarship application process?,Students are encouraged to contact Betty Watts in early/mid-Spring semester the year before their application to discuss the application process.,1.0
108,108,What are the contact details for the Virginia Tech Fulbright Program Advisers?,"Betty Watts | 540-231-7220 | bettyw@vt.edu, 526 Prices Fork Rd, Blacksburg VA 24061.",1.0
109,109,What do the Gates Cambridge Scholarships provide?,"The Gates Cambridge Scholarships provide the full cost of studying in Cambridge for one, two, three or in certain exceptional circumstances, four years.",1.0
110,110,What is the deadline for the Gates Cambridge Scholarships?,Their deadline is usually November 1.,1.0
111,111,What do the Goldwater Scholarships award?,"The Goldwater Scholarships award up to $7,500 per year for tuition, fees, room, board, and books for the junior/senior years to 300 students planning graduate work and a career in science, mathematics, or engineering.",1.0
112,112,What is the campus deadline for the Goldwater Scholarships?,The campus deadline is usually before the Thanksgiving break.,1.0
113,113,What is the purpose of James Madison Fellowships?,"To provide financial assistance for graduate study in history, political science, or related social studies.",1.0
114,114,How much money do Marshall Scholarships allot per year?,"$40,000.",1.0
115,115,What are the eligibility criteria for Marshall Scholarships?,"Distinguished academic record, strong leadership, significant community service, and a focused program of study for graduate school.",1.0
116,116,What is the deadline for James Madison Fellowships?,Usually early March.,1.0
117,117,When is the campus deadline for Marshall Scholarships?,Early September.,1.0
118,118,Who should students contact to discuss the application process for Marshall Scholarships?,Christina McIntyre.,1.0
119,119,Who was the recipient of James Madison Fellowship in 2005?,Ashley A. White.,1.0
120,120,Who was the recipient of James Madison Fellowship in 2000?,Sarah S. Airey.,1.0
121,121,Who was the recipient of James Madison Fellowship in 1999?,Stacey D. Smith.,1.0
122,122,Who was the recipient of James Madison Fellowship in 1980?,Anya McGuirk.,1.0
123,123,What is the purpose of the Mitchell Scholarship?,To educate future American leaders about the island of Ireland.,1.0
124,124,What is the campus deadline for the Mitchell Scholarship?,Early September.,1.0
125,125,What is the national deadline for the Mitchell Scholarship?,Early October.,1.0
126,126,What is the purpose of the NSF Graduate Research Fellowship Program?,To ensure the vitality and diversity of the human resource base of science and engineering in the United States.,1.0
127,127,What do NSF Fellows receive as part of the program?,"A three-year annual stipend of $34,000, a $12,000 cost of education allowance for tuition and fees, opportunities for international research and professional development, and the freedom to conduct their own research at any accredited U.S. institution of graduate education they choose.",1.0
128,128,What are NSF Fellows anticipated to become?,"Knowledge experts who can contribute significantly to research, teaching, and innovations in science and engineering.",1.0
129,129,Is a university endorsement required for the NSF Graduate Research Fellowship Program?,No.,1.0
130,130,When are the deadlines for the NSF Graduate Research Fellowship Program?,Deadlines vary by field of study: mid-October to early November.,1.0
131,131,When should candidates start developing their application materials for the NSF Graduate Research Fellowship Program?,Candidates are encouraged to start in early July or August to allow time for development.,1.0
132,132,Who should candidates contact for additional guidance for the NSF Graduate Research Fellowship Program?,Christina McIntyre.,1.0
133,133,Where can more information about the NSF GRF program be found?,On the NSF GRF webpage: https://www.nsfgrfp.org/2009,1.0
134,134,What is the Rhodes scholarship?,"The Rhodes scholarship provides support for tuition, fees, room, board, transportation, books to 32 seniors for two years of graduate study at Oxford University.",1.0
135,135,What qualities does the Rhodes Foundation look for in applicants?,"The Rhodes Foundation looks for seniors with very strong academic records, integrity of character, physical vigor, demonstrated leadership, and extensive public service.",1.0
136,136,Who can apply for the Rhodes scholarship?,Seniors and alumni can apply for the Rhodes scholarship.,1.0
137,137,What is the age requirement for alumni applicants?,Alumni must not have reached the age of 24 by October 1 of the application year.,1.0
138,138,Who should students contact to discuss the Rhodes scholarship application process?,Students are encouraged to contact Christina McIntyre in early/mid-Spring semester of their Junior year to discuss the application process.,1.0
139,139,When did Mark Embree receive the Rhodes scholarship?,Mark Embree received the Rhodes scholarship in 1996.,1.0
140,140,When did William W. Lewis receive the Rhodes scholarship?,William W. Lewis received the Rhodes scholarship in 1963.,1.0
141,141,What is the purpose of the Truman scholarship?,The purpose of the Truman scholarship is to identify people with potential to become leaders and provide them with support.,1.0
142,142,What is the amount of the Truman scholarship?,"The Truman scholarship is in the amount of $30,000.",1.0
143,143,What is the University Endorsement Process for the Truman scholarship?,"To gain access to the application, one needs to email Christina McIntyre and include an up-to-date resume or CV.",1.0
144,144,What is the Virginia Tech campus deadline for the Truman scholarship?,The Virginia Tech campus deadline for the Truman scholarship is December 1.,1.0
145,145,When are the campus interviews for the Truman scholarship?,The campus interviews for the Truman scholarship are on Reading Day.,1.0
146,146,Who should candidates meet with early in the fall semester to discuss the Truman scholarship application process?,Candidates should meet with Christina McIntyre.,1.0
147,147,Where can one find the Truman Foundation Website?,The Truman Foundation Website can be found at http://www.truman.gov.,1.0
148,148,"Who were the Truman scholarship recipients in 2009, 2002, and 1992?","The Truman scholarship recipients in 2009 were Jennifer Lamb, in 2002 was Michael Gerusa, and in 1992 was Phallisha Newsome-Horton.",1.0
149,149,What fields does the Udall Foundation seek future leaders in?,"The Udall Foundation seeks future leaders across a wide spectrum of environmental fields, including policy, engineering, science, education, urban planning and renewal, business, health, justice, and economics.",1.0
150,150,What is the scholarship amount provided by the Udall Foundation?,"The scholarship provides financial funding up to $7,000 for academic expenses.",1.0
151,151,What additional benefits does the Udall Foundation scholarship provide?,"The scholarship provides access to the Udall Alumni network and a four-day scholar orientation in Tucson, AZ.",1.0
152,152,Is there a University Endorsement Process for the Udall Foundation scholarship?,Yes.,1.0
153,153,What is the Virginia Tech campus deadline for the Udall Foundation scholarship?,The Virginia Tech campus deadline is February 15.,1.0
154,154,Who determines the endorsements of candidates for the Udall Foundation scholarship at Virginia Tech?,A Virginia Tech Udall Committee determines endorsements of candidates based on the materials submitted by the campus deadline.,1.0
155,155,What is the contact information to gain access to the Udall Foundation scholarship application?,"To gain access to the application, email Christina McIntyre and include an up-to-date resume or Curriculum Vitae (CV) to assist in the registration process.",1.0
156,156,Who should candidates meet with in the fall to discuss the application process for the Udall Foundation scholarship?,Candidates are encouraged to meet with Christina McIntyre to discuss the application process.,1.0
157,157,What is the website for the Udall Foundation?,The Udall Foundation website is http://udall.gov/OurPrograms/Scholarship/Scholarship.aspx,1.0
158,158,Can you provide some examples of past Udall Foundation scholarship recipients from Virginia Tech?,"Some examples of past recipients from Virginia Tech include Kara Dodson, Erin A. Rooney, Sherri M. Cook, Hilary Camblos, Krista Jacbosen, Brian Sweet, Shane J. Moses, Stacey D. Smith, Karen Hix, Elizabeth Embree, John Michael Schmidt, Walter R. O'Connel, Jennifer M. Deang, Elizabeth Faye, Michael C. Montgomery, and Angel L. Wesner.",1.0
159,159,How many awards does the Fulbright Scholar Program give out annually?,More than 800,1.0
160,160,How many countries can Fulbright Scholars go to?,135+,1.0
161,161,How many faculty and professionals receive Fulbright Scholar awards each year?,Around 850,1.0
162,162,How many countries do scholars come from to receive Fulbright Scholar awards?,Over 100,1.0
163,163,What is the goal of U.S. Higher Education institutions in relation to the Fulbright mission?,To share knowledge across communities and promote mutual understanding across nations,1.0
164,164,How many alumni have pursued opportunities in the Fulbright Scholar Directory?,"More than 50,000",1.0
165,165,What is the Fulbright program funded by?,The U.S. Government,1.0
166,166,How many Virginia Tech alumni have received the Medal of Honor?,Eight,1.0
167,167,What war were more than half of the nation's medals awarded during?,The Civil War,1.0
168,168,What are the names of the two brothers who both earned the Medal of Honor?,Antoine Gaujot and Julien Gaujot,1.0
169,169,What did Antoine Gaujot receive the Medal of Honor for?,Actions during the Philippine Insurrection,1.0
170,170,What did Julien Gaujot receive the Medal of Honor for?,Peacekeeping actions on the Mexican Border,1.0
171,171,What is Earle Gregory often called?,The “Sergeant York of Virginia”,1.0
172,172,What did Herbert Thomas do to save his men during World War II?,Jumped on a grenade,1.0
173,173,What is the name of the hall named in honor of Jimmie Monteith?,Monteith Hall,1.0
174,174,What is the name of the hall named in honor of Robert Femoyer?,Femoyer Hall,1.0
175,175,What did Richard Shea do during the Korean War?,Organized and led a counterattack at Pork Chop Hill,1.0
176,176,Who was 1st Lt. Gary Lee Miller?,A unit commander in the U.S. Army and a Virginia Tech alumni.,1.0
177,177,How did 1st Lt. Gary Lee Miller die?,"He died from wounds he received while serving in action in Binh Duong Province, Vietnam.",1.0
178,178,What did 1st Lt. Gary Lee Miller do to save his patrol?,"He threw himself on an enemy grenade, absorbing the force of the explosion with his body.",1.0
179,179,What is the Medal of Honor?,It is America's highest award for valor.,1.0
180,180,How many Virginia Tech alumni have received the Medal of Honor?,Eight.,1.0
181,181,Who are Antoine Gaujot and Julien Gaujot?,They are two brothers who earned the Medal of Honor for actions in different wars.,1.0
182,182,What war did Antoine Gaujot receive the Medal of Honor for?,The Philippine Insurrection.,1.0
183,183,What did Antoine Gaujot do to receive the Medal of Honor?,He made persistent effort under heavy enemy rifle fire to help his unit cross a swollen river.,1.0
184,184,What war did Julien Gaujot receive the Medal of Honor for?,The Mexican Border conflict.,1.0
185,185,What did Julien Gaujot do to receive the Medal of Honor?,"He crossed the border and moved between two groups of belligerents under heavy fire, securing the safe passage of soldiers and prisoners.",1.0
186,186,Who is Earle Gregory?,He is a Virginia Tech alumni who received the Medal of Honor for actions during World War I.,1.0
187,187,What did Earle Gregory do to receive the Medal of Honor?,He single-handedly captured a machine gun and several enemy soldiers.,1.0
188,188,Who is Herbert Thomas?,He is a Virginia Tech alumni who received the Medal of Honor for actions during World War II.,1.0
189,189,What did Herbert Thomas do to receive the Medal of Honor?,He led his men in destroying enemy machine gun positions and sacrificed his own life to save his men.,1.0
190,190,Who is Jimmie Monteith?,He is a Virginia Tech alumni who received the Medal of Honor for actions during World War II.,1.0
191,191,What did Jimmie Monteith do to receive the Medal of Honor?,"He led an assault over an exposed beach, directed tank fire, and captured an advantageous position.",1.0
192,192,Who is Robert Femoyer?,He is a Virginia Tech alumni who received the Medal of Honor for actions during World War II.,1.0
193,193,What did Robert Femoyer do to receive the Medal of Honor?,"He guided a damaged bomber through enemy anti-aircraft concentrations, despite being wounded and losing blood.",1.0
194,194,Who is Richard Shea?,He is a Virginia Tech alumni who received the Medal of Honor for actions during the Korean War.,1.0
195,195,What did Richard Shea do to receive the Medal of Honor?,"He organized and led a counterattack, killed enemy soldiers with his trench knife, and fought hand-to-hand during counterattacks.",1.0
196,196,How many generals and admirals are among Virginia Tech's alumni?,97.,1.0
197,197,What is the class with the greatest number of generals?,The class of 1941.,1.0
198,198,Who has been named senior associate vice president for alumni relations at Virginia Tech?,Matthew M. Winston Jr.,1.0
200,200,How many living alumni does the Virginia Tech Alumni Association have?,"Over 240,000.",1.0
201,201,What is Virginia Tech's motto?,Ut Prosim (That I May Serve).,1.0
202,202,How many undergraduate and graduate degree programs does Virginia Tech offer?,240.,1.0
203,203,What is the research portfolio of Virginia Tech?,$513 million.,1.0
204,204,What is Virginia Tech's land-grant mission?,To transform knowledge to practice through technological leadership and by fueling economic growth and job creation.,1.0
205,205,What is the oldest structure on the Virginia Tech campus?,Solitude,1.0
206,206,When was Solitude restored to its mid-to-late 19th century appearance?,2011,1.0
207,207,Who expanded Solitude in 1851?,Col. Robert Preston,1.0
208,208,When was Virginia Tech founded?,1872,1.0
209,209,What was the result of the Morrill Land Grant Act passed in 1862?,The founding of Virginia Agricultural and Mechanical College,1.0
210,210,Where did 'Add' register?,Preston and Olin Building,1.0
211,211,What was the name of the college where 'Add' registered?,Virginia Agricultural and Mechanical College (V.A.M.C.),1.0
212,212,What did the Virginia Agricultural and Mechanical College eventually become?,Virginia Polytechnic Institute and State University,1.0
213,213,When was Add Caldwell born?,"January 10, 1856",1.0
214,214,Where was Add Caldwell born?,"Sinking Creek in Craig County, Va.",1.0
215,215,Who were Add Caldwell's parents?,George Charlton and Lorena Givens Caldwell,1.0
216,216,How many children did George and Lorena Caldwell have?,Nine,1.0
217,217,How long had the Caldwells been living in Craig's valleys?,Since the 1760's,1.0
218,218,Who granted land to the Caldwell's forebear?,King George III of England,1.0
219,219,What was Add's father's occupation?,farmer,1.0
220,220,What was the name of Add's grandfather?,Archibald Caldwell,1.0
221,221,What kind of house did George have?,two-story frame house,1.0
222,222,Where did George's house sit?,above the base of a mountain,1.0
223,223,What did George's house provide a view of?,valley farmland,1.0
224,224,Where did Add grow up?,On a farm,1.0
225,225,Who owned a slave in 1860?,Add's father,1.0
226,226,What was Add's father's role in the Civil War?,He was a veteran,1.0
227,227,What did Add's father want for his children?,A better opportunity for education,1.0
228,228,What happened to the county's school records?,They were destroyed by fire,1.0
229,229,How did Add most likely receive his education?,At a one or two-room school near the family farm or through a hired instructor,1.0
230,230,When was the public school system introduced in Craig County?,1870,1.0
231,231,Who prompted Add Caldwell to investigate the agricultural and mechanical school in Blacksburg?,The reason for Add Caldwell's investigation may never be known.,1.0
232,232,How did Add and his older brother learn about the new school?,It is unclear whether they saw advertisements or heard about it through word of mouth.,1.0
233,233,How far did Add and his brother walk to reach Blacksburg?,They walked as much as 28 miles.,1.0
234,234,Did Add and his brother take any shortcuts on their journey?,They may have used foot trails across the mountains to shorten their walk.,1.0
235,235,What did Mic's daughter remember about her father's journey to the school?,She remembers that he walked to the school with his brother.,1.0
236,236,Who wrote the book The First 100 Years?,D.L. Kinnear,1.0
237,237,What building is described in the book?,The Preston and Olin Building,1.0
238,238,Who was the first student to register?,Add,1.0
239,239,Who else registered on the same day?,Mic,1.0
240,240,How many students had matriculated in the first month?,30,1.0
241,241,Who did President Minor write to during the first month?,Gen. Joseph R. Anderson,1.0
242,242,How many students were holding back in hope of accommodation?,A dozen,1.0
243,243,Which institute did they receive accommodation from?,The Preston and Olin Institute,1.0
244,244,Were there more students expected to begin?,"Yes, most of those who were best informed in the matter expected a larger beginning.",1.0
245,245,How many students were in correspondence with the school?,A good many others,1.0
246,246,What did President Minor call the students?,plain lads for the most part,1.0
247,247,What was President Minor embarrassed by?,the fact that the wants of the students who have come to us have forced us to vary materially from the strictly technical training enjoined by the organization Committee's report,1.0
248,248,"According to President Minor, what kind of preparation did many of the students have?",the scantiest preparation,1.0
249,249,What did V.A.M.C. have to include in their work?,"much of the work properly belonging to the high schools, or even the grammar schools",1.0
251,251,When did newspapers report that 60 students had registered?,mid-November,1.0
252,252,How many students had registered according to the newspapers?,60,1.0
253,253,What was the total enrollment during the first year of operation?,132,1.0
254,254,Who was the first student to register at Virginia Tech?,Add,1.0
255,255,What were the facilities in the Preston and Olin Building?,"Three recitation rooms, a chapel, and twenty-four lodging rooms",1.0
256,256,Where did students who couldn't get lodging on campus stay?,In town,1.0
257,257,Where did students eat before 1873?,"In town, many at Luster's Hotel",1.0
258,258,When was a new building completed for students to eat meals?,1873,1.0
259,259,Where did students have the option to eat from 1873 to 1881?,On campus or in town,1.0
260,260,When was Mic enrolled at Virginia Tech?,"Mic was enrolled in 1872 and 1873, and again in 1876 and 1877.",1.0
261,261,Did Mic graduate from Virginia Tech?,"No, Mic did not graduate.",1.0
262,262,When did Frank B. Caldwell enroll at Virginia Tech?,Frank B. Caldwell enrolled during Add's third year.,1.0
263,263,How many terms did Frank B. Caldwell attend at Virginia Tech?,Frank B. Caldwell attended three consecutive terms.,1.0
264,264,Did Frank B. Caldwell graduate from Virginia Tech?,"No, Frank B. Caldwell did not graduate.",1.0
265,265,What was covered by the scholarship?,"Tuition, college fees, and room rent",1.0
266,266,How much was the tuition?,$30,1.0
267,267,How much were the college fees?,$10,1.0
268,268,How much was the room rent?,$5 per month,1.0
269,269,How much did 'table board' cost?,$12 per month,1.0
270,270,How much did uniforms cost?,$17.25,1.0
271,271,How much was the contingent fee?,$5,1.0
